Intg_Resp_Id,Invoice_Id,Infinium_Request__c,Infinium_Response__c,Error_Message__c,Operation__c,Status__c,LastModifiedDate
INTG000001,INV000197,"{
  ""externalId"": ""INV000197"",
  ""vendorId"": ""2067312"",
  ""vendorInvoiceNumber"": ""SYN-INVOICE-000197"",
  ""purchaseOrderNumber"": ""Synthetic_PO_69-383"",
  ""totalInvoiceAmount"": ""1570.00"",
  ""lines"": [
    {
      ""invoiceLineNumber"": 1,
      ""vendorServiceCode"": ""TA-10"",
      ""projectId"": ""2559370"",
      ""subProjectId"": """",
      ""lineDescription"": ""TA-10 - MUTCD TA-10 Standard Flagging"",
      ""quantity"": 2.00,
      ""cost"": ""785.00""
    }
  ]
}","{
  ""vendorInvoiceNumber"": ""SYN-INVOICE-000197"",
  ""status"": ""commited""
}",,Invoice Commit,Success,2025-11-13 13:25:23
INTG000002,INV000176,"{
  ""sfid"": ""INV000176"",
  ""vendorId"": ""2020155"",
  ""vendorInvoiceNumber"": ""SYN-INVOICE-000176"",
  ""invoiceDate"": ""2025-07-09"",
  ""purchaseOrderNumber"": ""Synthetic_PO_57"",
  ""totalInvoiceAmount"": ""1175.00"",
  ""lines"": [
    {
      ""invoiceLineNumber"": 1,
      ""accountNumber"": ""151.000.2232.601.000.344"",
      ""vendorServiceCode"": ""APDP-1"",
      ""projectId"": ""5386311"",
      ""subProjectId"": """",
      ""lineDescription"": ""APDP-1 - Administrative Project Documentation Package"",
      ""quantity"": 1.00,
      ""cost"": ""225.00""
    },
    {
      ""invoiceLineNumber"": 2,
      ""accountNumber"": ""151.000.2232.601.000.344"",
      ""vendorServiceCode"": ""MEU-1"",
      ""projectId"": ""5386311"",
      ""subProjectId"": """",
      ""lineDescription"": ""MEU-1 - NID Only Add, Fiber Delivery"",
      ""quantity"": 2.00,
      ""cost"": ""210.00""
    },
    {
      ""invoiceLineNumber"": 3,
      ""accountNumber"": ""151.000.2232.601.000.344"",
      ""vendorServiceCode"": ""SSPU-1"",
      ""projectId"": ""5386311"",
      ""subProjectId"": """",
      ""lineDescription"": ""SSPU-1 - Site Survey Package (SSP)"",
      ""quantity"": 1.00,
      ""cost"": ""530.00""
    }
  ]
}",,"{
  ""validation_messages"": [
    {
      ""lineNumber"": 1,
      ""message"": ""GL account 151.000.2232.601.000.344 is not valid. Main/Sub Not Valid For This Project""
    },
    {
      ""lineNumber"": 2,
      ""message"": ""GL account 151.000.2232.601.000.344 is not valid. Main/Sub Not Valid For This Project""
    },
    {
      ""lineNumber"": 3,
      ""message"": ""GL account 151.000.2232.601.000.344 is not valid. Main/Sub Not Valid For This Project""
    }
  ],
  ""type"": ""http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html"",
  ""title"": ""Validation Error"",
  ""status"": 422,
  ""detail"": ""Validation errors exist.""
}",Invoice Release,Fail,2025-11-13 01:41:20
INTG000003,INV000115,"{
  ""sfid"": ""INV000115"",
  ""vendorId"": ""4400762"",
  ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000115"",
  ""invoiceDate"": ""2025-07-09"",
  ""purchaseOrderNumber"": ""PO_Synthetic_49"",
  ""totalInvoiceAmount"": ""5075.89"",
  ""lines"": [
    {
      ""invoiceLineNumber"": 1,
      ""accountNumber"": ""441.318.6441.000.253.345"",
      ""vendorServiceCode"": ""0000"",
      ""projectId"": ""3241881"",
      ""subProjectId"": """",
      ""lineDescription"": ""MISC"",
      ""quantity"": 4996.80,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 2,
      ""accountNumber"": ""441.318.6441.000.253.345"",
      ""vendorServiceCode"": ""LSMAT"",
      ""projectId"": ""3241881"",
      ""subProjectId"": """",
      ""lineDescription"": ""LSMAT - LSMAT - LUMP SUM MATERIAL"",
      ""quantity"": 74.77,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 3,
      ""accountNumber"": ""441.318.6441.000.253.345"",
      ""vendorServiceCode"": ""TAX"",
      ""projectId"": ""3241881"",
      ""subProjectId"": """",
      ""lineDescription"": ""TAX - Tax on vendor provided material."",
      ""quantity"": 4.32,
      ""cost"": ""1.00""
    }
  ]
}",,"{
  ""validation_messages"": [
    {
      ""lineNumber"": 1,
      ""message"": ""GL account 441.318.6441.000.253.345 is not valid. Project Not Approved""
    },
    {
      ""lineNumber"": 2,
      ""message"": ""GL account 441.318.6441.000.253.345 is not valid. Project Not Approved""
    },
    {
      ""lineNumber"": 3,
      ""message"": ""GL account 441.318.6441.000.253.345 is not valid. Project Not Approved""
    }
  ],
  ""type"": ""http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html"",
  ""title"": ""Validation Error"",
  ""status"": 422,
  ""detail"": ""Validation errors exist.""
}",Invoice Release,Fail,2025-11-13 01:42:11
INTG000004,INV000132,"{
  ""sfid"": ""INV000132"",
  ""vendorId"": ""2020155"",
  ""vendorInvoiceNumber"": ""INV-SYN-000132"",
  ""invoiceDate"": ""2025-09-11"",
  ""purchaseOrderNumber"": ""Synthetic_PO_57"",
  ""totalInvoiceAmount"": ""6090.00"",
  ""lines"": [
    {
      ""invoiceLineNumber"": 1,
      ""accountNumber"": ""012.000.2421.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5386247"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 6.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 2,
      ""accountNumber"": ""151.000.2423.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5294295"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 2.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 3,
      ""accountNumber"": ""151.000.2423.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5294309"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 1.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 4,
      ""accountNumber"": ""151.000.2423.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5298683"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 5.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 5,
      ""accountNumber"": ""152.000.2421.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5308539"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 1.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 6,
      ""accountNumber"": ""152.000.2421.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5309321"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 7.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 7,
      ""accountNumber"": ""12.000.2422.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5311922"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 15.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 8,
      ""accountNumber"": ""012.000.2411.001.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5327010"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 4.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 9,
      ""accountNumber"": ""151.000.2421.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5330598"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 1.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 10,
      ""accountNumber"": ""012.000.2421.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5327015"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 11.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 11,
      ""accountNumber"": ""152.000.2423.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5336402"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 1.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 12,
      ""accountNumber"": ""152.000.2421.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5384885"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 5.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 13,
      ""accountNumber"": ""151.000.2421.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5375220"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 3.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 14,
      ""accountNumber"": ""12.000.2421.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5386230"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 8.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 15,
      ""accountNumber"": ""152.000.2421.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5387524"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 2.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 16,
      ""accountNumber"": ""152.000.2421.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5387528"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 2.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 17,
      ""accountNumber"": ""152.000.2422.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5387533"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 1.00,
      ""cost"": ""70.00""
    },
    {
      ""invoiceLineNumber"": 18,
      ""accountNumber"": ""152.000.2422.201.000.344"",
      ""vendorServiceCode"": ""PMC-1"",
      ""projectId"": ""5387533"",
      ""subProjectId"": """",
      ""lineDescription"": ""PMC-1 - Project Management & Coordination Support (PMC)"",
      ""quantity"": 12.00,
      ""cost"": ""70.00""
    }
  ]
}",,"{
  ""validation_messages"": [
    {
      ""lineNumber"": 8,
      ""message"": ""GL account 012.000.2411.001.000.344 is not valid. Cost Code Not Valid For This Project""
    },
    {
      ""lineNumber"": 9,
      ""message"": ""GL account 151.000.2421.201.000.344 is not valid. Cost Code Not Valid For This Project""
    }
  ],
  ""type"": ""http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html"",
  ""title"": ""Validation Error"",
  ""status"": 422,
  ""detail"": ""Validation errors exist.""
}",Invoice Release,Fail,2025-11-13 01:43:43
INTG000005,INV000037,"{
  ""sfid"": ""INV000037"",
  ""vendorId"": ""5347917"",
  ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000037"",
  ""invoiceDate"": ""2025-07-21"",
  ""purchaseOrderNumber"": ""PO_Synthetic_25"",
  ""totalInvoiceAmount"": ""4641.00"",
  ""lines"": [
    {
      ""invoiceLineNumber"": 1,
      ""accountNumber"": ""086.000.2232.601.000.344"",
      ""vendorServiceCode"": ""0000"",
      ""projectId"": ""2564674"",
      ""subProjectId"": """",
      ""lineDescription"": ""MISC"",
      ""quantity"": 1160.00,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 2,
      ""accountNumber"": ""086.000.2232.601.000.344"",
      ""vendorServiceCode"": ""0000"",
      ""projectId"": ""2565267"",
      ""subProjectId"": """",
      ""lineDescription"": ""MISC"",
      ""quantity"": 1.00,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 3,
      ""accountNumber"": ""086.000.2232.601.000.344"",
      ""vendorServiceCode"": ""0000"",
      ""projectId"": ""2563250"",
      ""subProjectId"": """",
      ""lineDescription"": ""MISC"",
      ""quantity"": 1740.00,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 4,
      ""accountNumber"": ""086.142.6423.000.182.344"",
      ""vendorServiceCode"": ""0000"",
      ""projectId"": """",
      ""subProjectId"": """",
      ""lineDescription"": ""MISC"",
      ""quantity"": 1740.00,
      ""cost"": ""1.00""
    }
  ]
}",,"{
  ""validation_messages"": {
    ""vendorId"": ""5347917"",
    ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000037"",
    ""status"": ""Error""
  },
  ""type"": ""http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html"",
  ""title"": ""Validation Error"",
  ""status"": 422,
  ""detail"": ""A vendor invoice number of SYNTHETIC-INV-000037 is already queued for release.""
}",Invoice Release,Fail,2025-11-04 20:31:48
INTG000006,INV000170,"{
  ""sfid"": ""INV000170"",
  ""vendorId"": ""5617198"",
  ""vendorInvoiceNumber"": ""SYN-INVOICE-000170"",
  ""invoiceDate"": ""2025-08-07"",
  ""purchaseOrderNumber"": ""SYN_PO_8"",
  ""totalInvoiceAmount"": ""140.00"",
  ""lines"": [
    {
      ""invoiceLineNumber"": 1,
      ""accountNumber"": ""161.000.3421.104.000.344"",
      ""vendorServiceCode"": ""L04A"",
      ""projectId"": ""4209827"",
      ""subProjectId"": """",
      ""lineDescription"": ""L04A - Drafter"",
      ""quantity"": 2.00,
      ""cost"": ""35.00""
    },
    {
      ""invoiceLineNumber"": 2,
      ""accountNumber"": ""164.000.3423.104.000.344"",
      ""vendorServiceCode"": ""L04A"",
      ""projectId"": ""4209964"",
      ""subProjectId"": """",
      ""lineDescription"": ""L04A - Drafter"",
      ""quantity"": 2.00,
      ""cost"": ""35.00""
    }
  ]
}",,"{
  ""validation_messages"": [
    {
      ""lineNumber"": 2,
      ""message"": ""GL account 164.000.3423.104.000.344 is not valid. Project Number Not Valid""
    }
  ],
  ""type"": ""http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html"",
  ""title"": ""Validation Error"",
  ""status"": 422,
  ""detail"": ""Validation errors exist.""
}",Invoice Release,Fail,2025-11-13 01:45:26
INTG000007,INV000076,"{
  ""sfid"": ""INV000076"",
  ""vendorId"": ""4206967"",
  ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000076"",
  ""invoiceDate"": ""2025-07-22"",
  ""purchaseOrderNumber"": ""Synthetic_PO_6"",
  ""totalInvoiceAmount"": ""671.50"",
  ""lines"": [
    {
      ""invoiceLineNumber"": 1,
      ""accountNumber"": ""174.000.2422.201.000.344"",
      ""vendorServiceCode"": ""L04A"",
      ""projectId"": ""5320411"",
      ""subProjectId"": """",
      ""lineDescription"": ""L04A - Drafter"",
      ""quantity"": 17.00,
      ""cost"": ""39.50""
    }
  ]
}",,"{
  ""validation_messages"": {
    ""vendorId"": ""4206967"",
    ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000076"",
    ""status"": ""Error""
  },
  ""type"": ""http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html"",
  ""title"": ""Validation Error"",
  ""status"": 422,
  ""detail"": ""The invoice amount is greater than the amount available on the PO.""
}",Invoice Release,Fail,2025-11-13 01:45:31
INTG000008,INV000067,"{
  ""sfid"": ""INV000067"",
  ""vendorId"": ""4602850"",
  ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000067"",
  ""invoiceDate"": ""2025-07-24"",
  ""purchaseOrderNumber"": ""SYN_PO_11"",
  ""totalInvoiceAmount"": ""3793.26"",
  ""lines"": [
    {
      ""invoiceLineNumber"": 1,
      ""accountNumber"": ""151.000.2421.201.000.345"",
      ""vendorServiceCode"": ""L40A"",
      ""projectId"": ""5388128"",
      ""subProjectId"": """",
      ""lineDescription"": ""JOURNEYMAN \""B\"""",
      ""quantity"": 26.00,
      ""cost"": ""72.95""
    },
    {
      ""invoiceLineNumber"": 2,
      ""accountNumber"": ""151.000.2421.201.000.345"",
      ""vendorServiceCode"": ""L40P"",
      ""projectId"": ""5388128"",
      ""subProjectId"": """",
      ""lineDescription"": ""L40P - JOURNEYMAN \""B\"" OT (HR)"",
      ""quantity"": 2.00,
      ""cost"": ""109.43""
    },
    {
      ""invoiceLineNumber"": 3,
      ""accountNumber"": ""151.000.2421.201.000.345"",
      ""vendorServiceCode"": ""L50A"",
      ""projectId"": ""5388128"",
      ""subProjectId"": """",
      ""lineDescription"": ""L50A - LABORER/HELPER (HR)"",
      ""quantity"": 8.00,
      ""cost"": ""52.40""
    },
    {
      ""invoiceLineNumber"": 4,
      ""accountNumber"": ""151.000.2421.201.000.345"",
      ""vendorServiceCode"": ""L50C"",
      ""projectId"": ""5388128"",
      ""subProjectId"": """",
      ""lineDescription"": ""L50C - LABORER/HELPER OT (HR)"",
      ""quantity"": 1.00,
      ""cost"": ""78.60""
    },
    {
      ""invoiceLineNumber"": 5,
      ""accountNumber"": ""151.000.2421.201.000.345"",
      ""vendorServiceCode"": ""E20A"",
      ""projectId"": ""5388128"",
      ""subProjectId"": """",
      ""lineDescription"": ""MEDIUM VEHICLES (wtih Trailers/Tools)"",
      ""quantity"": 23.00,
      ""cost"": ""51.30""
    }
  ]
}",,"{
  ""validation_messages"": [
    {
      ""lineNumber"": 1,
      ""message"": ""GL account 151.000.2421.201.000.345 is not valid. Project Not Approved""
    },
    {
      ""lineNumber"": 2,
      ""message"": ""GL account 151.000.2421.201.000.345 is not valid. Project Not Approved""
    },
    {
      ""lineNumber"": 3,
      ""message"": ""GL account 151.000.2421.201.000.345 is not valid. Project Not Approved""
    },
    {
      ""lineNumber"": 4,
      ""message"": ""GL account 151.000.2421.201.000.345 is not valid. Project Not Approved""
    },
    {
      ""lineNumber"": 5,
      ""message"": ""GL account 151.000.2421.201.000.345 is not valid. Project Not Approved""
    }
  ],
  ""type"": ""http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html"",
  ""title"": ""Validation Error"",
  ""status"": 422,
  ""detail"": ""Validation errors exist.""
}",Invoice Release,Fail,2025-11-13 01:46:11
INTG000009,INV000001,"{
  ""sfid"": ""INV000001"",
  ""vendorId"": ""5617198"",
  ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000001"",
  ""invoiceDate"": ""2025-09-17"",
  ""purchaseOrderNumber"": ""PO_Synthetic_1"",
  ""totalInvoiceAmount"": ""1965.50"",
  ""lines"": [
    {
      ""invoiceLineNumber"": 1,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""L42A"",
      ""projectId"": ""4180290"",
      ""subProjectId"": """",
      ""lineDescription"": ""L42A -MISCELLANEOUS ENGINEERING FOR THIRD-PARTY WORK FUNCTIONS - HOURLY"",
      ""quantity"": 5.00,
      ""cost"": ""45.00""
    },
    {
      ""invoiceLineNumber"": 2,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""Mileage"",
      ""projectId"": ""4183316"",
      ""subProjectId"": """",
      ""lineDescription"": ""Mileage-Mileage cost    PER MILE"",
      ""quantity"": 14.00,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 3,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""Mileage"",
      ""projectId"": ""4180292"",
      ""subProjectId"": """",
      ""lineDescription"": ""Mileage-Mileage cost    PER MILE"",
      ""quantity"": 17.50,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 4,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""L42A"",
      ""projectId"": ""4180288"",
      ""subProjectId"": """",
      ""lineDescription"": ""L42A -MISCELLANEOUS ENGINEERING FOR THIRD-PARTY WORK FUNCTIONS - HOURLY"",
      ""quantity"": 5.00,
      ""cost"": ""45.00""
    },
    {
      ""invoiceLineNumber"": 5,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""Mileage"",
      ""projectId"": ""4180288"",
      ""subProjectId"": """",
      ""lineDescription"": ""Mileage-Mileage cost    PER MILE"",
      ""quantity"": 17.50,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 6,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""L42A"",
      ""projectId"": ""4180292"",
      ""subProjectId"": """",
      ""lineDescription"": ""L42A -MISCELLANEOUS ENGINEERING FOR THIRD-PARTY WORK FUNCTIONS - HOURLY"",
      ""quantity"": 11.00,
      ""cost"": ""45.00""
    },
    {
      ""invoiceLineNumber"": 7,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""L42A"",
      ""projectId"": ""4180298"",
      ""subProjectId"": """",
      ""lineDescription"": ""L42A -MISCELLANEOUS ENGINEERING FOR THIRD-PARTY WORK FUNCTIONS - HOURLY"",
      ""quantity"": 11.00,
      ""cost"": ""45.00""
    },
    {
      ""invoiceLineNumber"": 8,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""Mileage"",
      ""projectId"": ""4180298"",
      ""subProjectId"": """",
      ""lineDescription"": ""Mileage-Mileage cost    PER MILE"",
      ""quantity"": 17.50,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 9,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""L42A"",
      ""projectId"": ""4183316"",
      ""subProjectId"": """",
      ""lineDescription"": ""L42A -MISCELLANEOUS ENGINEERING FOR THIRD-PARTY WORK FUNCTIONS - HOURLY"",
      ""quantity"": 4.50,
      ""cost"": ""45.00""
    },
    {
      ""invoiceLineNumber"": 10,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""L42A"",
      ""projectId"": ""4183453"",
      ""subProjectId"": """",
      ""lineDescription"": ""L42A -MISCELLANEOUS ENGINEERING FOR THIRD-PARTY WORK FUNCTIONS - HOURLY"",
      ""quantity"": 2.00,
      ""cost"": ""45.00""
    },
    {
      ""invoiceLineNumber"": 11,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""Mileage"",
      ""projectId"": ""4183453"",
      ""subProjectId"": """",
      ""lineDescription"": ""Mileage-Mileage cost    PER MILE"",
      ""quantity"": 7.00,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 12,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""L42A"",
      ""projectId"": ""4183454"",
      ""subProjectId"": """",
      ""lineDescription"": ""L42A -MISCELLANEOUS ENGINEERING FOR THIRD-PARTY WORK FUNCTIONS - HOURLY"",
      ""quantity"": 3.00,
      ""cost"": ""45.00""
    },
    {
      ""invoiceLineNumber"": 13,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""Mileage"",
      ""projectId"": ""4183454"",
      ""subProjectId"": """",
      ""lineDescription"": ""Mileage-Mileage cost    PER MILE"",
      ""quantity"": 7.00,
      ""cost"": ""1.00""
    },
    {
      ""invoiceLineNumber"": 14,
      ""accountNumber"": ""161.000.2423.201.000.344"",
      ""vendorServiceCode"": ""Mileage"",
      ""projectId"": ""4180290"",
      ""subProjectId"": """",
      ""lineDescription"": ""Mileage-Mileage cost    PER MILE"",
      ""quantity"": 17.50,
      ""cost"": ""1.00""
    }
  ]
}",,"{
  ""validation_messages"": {
    ""vendorId"": ""5617198"",
    ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000001"",
    ""status"": ""Error""
  },
  ""type"": ""http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html"",
  ""title"": ""Validation Error"",
  ""status"": 422,
  ""detail"": ""The invoice amount is greater than the amount available on the PO.""
}",Invoice Release,Fail,2025-11-13 01:46:51
INTG000010,INV000101,"{
  ""externalId"": ""INV000101"",
  ""vendorId"": ""5617198"",
  ""vendorInvoiceNumber"": ""SYN-INVOICE-000101"",
  ""purchaseOrderNumber"": ""PO_Synthetic_40-526"",
  ""totalInvoiceAmount"": ""424.61"",
  ""lines"": [
    {
      ""invoiceLineNumber"": null,
      ""vendorServiceCode"": ""L01A"",
      ""projectId"": ""1324508"",
      ""subProjectId"": """",
      ""lineDescription"": ""L01A - Engineer"",
      ""quantity"": 5.00,
      ""cost"": ""52.50""
    },
    {
      ""invoiceLineNumber"": null,
      ""vendorServiceCode"": ""L04A"",
      ""projectId"": ""1324508"",
      ""subProjectId"": """",
      ""lineDescription"": ""L04A - Drafter"",
      ""quantity"": 1.75,
      ""cost"": ""33.75""
    },
    {
      ""invoiceLineNumber"": null,
      ""vendorServiceCode"": ""L84F"",
      ""projectId"": ""1324508"",
      ""subProjectId"": """",
      ""lineDescription"": ""L84F - NULL"",
      ""quantity"": 2.00,
      ""cost"": ""39.50""
    },
    {
      ""invoiceLineNumber"": null,
      ""vendorServiceCode"": ""TAX"",
      ""projectId"": ""1324508"",
      ""subProjectId"": """",
      ""lineDescription"": ""TAX - Tax on vendor provided material."",
      ""quantity"": 24.05,
      ""cost"": ""1.00""
    }
  ]
}",,"{
  ""validation_messages"": {
    ""lines"": [
      {
        ""invoiceLineNumber"": {
          ""isEmpty"": ""Value is required and can't be empty""
        }
      },
      {
        ""invoiceLineNumber"": {
          ""isEmpty"": ""Value is required and can't be empty""
        }
      },
      {
        ""invoiceLineNumber"": {
          ""isEmpty"": ""Value is required and can't be empty""
        }
      },
      {
        ""invoiceLineNumber"": {
          ""isEmpty"": ""Value is required and can't be empty""
        }
      }
    ]
  },
  ""type"": ""http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html"",
  ""title"": ""Unprocessable Entity"",
  ""status"": 422,
  ""detail"": ""Failed Validation""
}",Invoice Commit,Fail,2025-11-05 08:41:18
