Invoice_Line_Id,Invoice_Id,Contract__Description,Project_Id,Name,Invoice_Line_Number__c,sitetracker__Quantity__c,sitetracker__Unit_Price__c,Invoice_Amount__c,Total_Invoice_Amount__c,Invoice_Date__c,Invoice_Due_Date__c,Invoice_Status__c,Infinium_Project_Number__c,Budgeted_Quantity__c,Budget_Vendor_Pricing_Line__r.Name,Company_Code__c,Operating_Area__c,Account_Code_Lookup__r.Name,Cost_Center__c,Type__c,GL_Code__c,Cost_Category_Name__c,Cost_Code_Check__c,Invoice_Line_Amount_Check__c,No_Matching_Budget_Line__c,Pending_Invoices_Check__c,Quantity_Exceeds_Budget__c,LastModifiedDate,Unit_of_Measure__c
INVLN000001,INV000032,Synthetic Contract 1 - Construction Services Agreement,PRJ000001,INVL-0019356,1,9900,1,9900,11900,2025-03-21 00:00:00,2025-05-20 00:00:00,Approved,5341448,0,BVPL-260515,172,358,2212.001,182,Field Work,174.000.2212.001.000.345,BID,1,TRUE,FALSE,TRUE,TRUE,2025-11-12 20:16:01,Each
INVLN000002,INV000093,Synthetic Contract 2 - Vendor Services Contract,PRJ000002,INVL-0401207,2,40,0.08,3.2,948.45,2025-09-24 00:00:00,2025-11-23 00:00:00,Hold,5392723,0,BVPL-244942,151,338,2441.001,0,Engineering,151.000.2441.001.000.344,D88B,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:04:33,Feet
INVLN000003,INV000093,Synthetic Contract 2 - Vendor Services Contract,PRJ000002,INVL-0401244,4,20,0.42,8.4,948.45,2025-09-24 00:00:00,2025-11-23 00:00:00,Hold,5392723,0,,151,338,2441.001,0,Engineering,151.000.2441.001.000.344,N88B,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:04:33,Feet
INVLN000004,INV000093,Synthetic Contract 2 - Vendor Services Contract,PRJ000002,INVL-0401247,5,2,6.8,13.6,948.45,2025-09-24 00:00:00,2025-11-23 00:00:00,Hold,5392723,0,,151,338,2441.001,0,Engineering,151.000.2441.001.000.344,D58A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:04:33,Each
INVLN000005,INV000093,Synthetic Contract 2 - Vendor Services Contract,PRJ000002,INVL-0401252,6,1,18.96,18.96,948.45,2025-09-24 00:00:00,2025-11-23 00:00:00,Hold,5392723,0,,151,338,2441.001,0,Engineering,151.000.2441.001.000.344,N58A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 04:04:33,Each
INVLN000006,INV000022,Synthetic Contract 2 - Vendor Services Contract,PRJ000003,INVL-0513170,1,11,55,605,2915,2025-10-29 00:00:00,2025-12-28 00:00:00,Hold,5357887,-44,,151,338,2441.001,182,Engineering,151.000.2441.001.000.344,L01C,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 08:21:08,Hours
INVLN000007,INV000022,Synthetic Contract 2 - Vendor Services Contract,PRJ000004,INVL-0513157,2,11,55,605,2915,2025-10-29 00:00:00,2025-12-28 00:00:00,Hold,5382332,0,BVPL-245016,151,338,2441.001,182,Engineering,151.000.2441.001.000.344,L01C,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 08:21:08,Hours
INVLN000008,INV000022,Synthetic Contract 2 - Vendor Services Contract,PRJ000005,INVL-0513171,4,11,55,605,2915,2025-10-29 00:00:00,2025-12-28 00:00:00,Hold,5370047,-153,,151,338,2441.001,182,Engineering,151.000.2441.001.000.344,L01C,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 08:21:08,Hours
INVLN000009,INV000022,Synthetic Contract 2 - Vendor Services Contract,PRJ000006,INVL-0513176,5,9,55,495,2915,2025-10-29 00:00:00,2025-12-28 00:00:00,Hold,5346886,0,,151,338,2441.001,182,Engineering,151.000.2441.001.000.344,L01C,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 08:21:08,Hours
INVLN000010,INV000017,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000007,INVL-0441029,3,4,45,180,2685,2025-10-13 00:00:00,2025-12-12 00:00:00,Hold,4170977,-42,BVPL-241221,,,2441.001,0,Engineering,161.000.2441.001.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:20:31,Hours
INVLN000011,INV000017,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000007,INVL-0441030,4,8.4,1,8.4,2685,2025-10-13 00:00:00,2025-12-12 00:00:00,Hold,4170977,-93,BVPL-262294,,,2441.001,0,Engineering,161.000.2441.001.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 05:20:31,Each
INVLN000012,INV000157,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000007,INVL-0501700,3,10,0.7,7,2685,2025-10-28 00:00:00,2025-12-27 00:00:00,Hold,4170977,-91,,161,,2441.001,,Engineering,161.000.2441.001.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 07:51:26,Each
INVLN000013,INV000157,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000008,INVL-0501644,8,2,45,90,2685,2025-10-28 00:00:00,2025-12-27 00:00:00,Hold,4191629,-16,,161,,2441.001,,Engineering,161.000.2441.001.000.344,L42A,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 07:51:26,Each
INVLN000014,INV000157,Synthetic Contract 3 - Equipment Supply Agreement,PRJ000008,INVL-0501699,11,5,0.7,3.5,2685,2025-10-28 00:00:00,2025-12-27 00:00:00,Hold,4191629,-48,,161,,2441.001,,Engineering,161.000.2441.001.000.344,Mileage,1,TRUE,FALSE,TRUE,TRUE,2025-11-13 07:51:26,Each
