Invoice_Id,PO_Description__c,Invoice_Name,Vendor__Name,Contract__Name,Invoice_Date__c,Approval_Date__c,Due_Date_Formula__c,Days_Pending_Approval__c,Infinium_Release_Number__c,Released_On__c,PO_Name,ProjectInvoice__c,Integration_Error_Message__c,Integration_Status__c,LastModifiedDate,Payment_Terms__c,Reason__c,sitetracker__Status__c,State__c,Original_Total_Amount__c,Total_Amount__c,Total_Invoice_Amount__c
INV000001,ABC Synthetic Corp 1 - Network Infrastructure Services - Region West,SYNTHETIC-INV-000001,ABC Synthetic Corp 1,BVP-02561,2025-09-17 00:00:00,2025-10-24 00:00:00,2025-11-16 00:00:00,56,,,PO_Synthetic_1,TRUE,"Detail from service: The invoice amount is greater than the amount available on the PO. and 
 Validation Message: {
  ""vendorId"": ""5617198"",
  ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000001"",
  ""status"": ""Error""
}",Fail,2025-11-12 01:50:33,60,BLANK,Hold,FL,1965.5,1965.5,1965.5
INV000002,XYZ Services LLC 2 - Telecommunications Maintenance Contract - Buildout,SYN-INVOICE-000002,XYZ Services LLC 2,BVP-02530,2025-10-23 00:00:00,2025-10-27 00:00:00,2025-12-07 00:00:00,20,,,SYN_PO_2,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 3,
    ""message"": ""GL account 174.000.2232.601.000.344 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 4,
    ""message"": ""GL account 174.000.2411.101.000.344 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 5,
    ""message"": ""GL account 174.000.2411.101.000.344 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 6,
    ""message"": ""GL account 174.000.2411.101.000.344 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 7,
    ""message"": ""GL account 174.000.2411.101.000.344 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 8,
    ""message"": ""GL account 174.000.2411.101.000.344 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 10,
    ""message"": ""GL account 171.000.2411.101.000.344 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 11,
    ""message"": ""GL account 174.000.2411.101.000.344 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 12,
    ""message"": ""GL account 174.000.2411.101.000.344 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 13,
    ""message"": ""GL account 174.000.2411.101.000.344 is not valid. Project Number Not Valid""
  },
  {
    ""lineNumber"": 14,
    ""message"": ""GL account 174.000.2411.101.000.344 is not valid. Project Number Not Valid""
  }
]",Fail,2025-11-12 07:10:35,45,CAP MGMT,Hold,TX,432,432,432
INV000003,ABC Synthetic Corp 1 - Equipment and Materials Supply - Phase 2,INV-SYN-000003,ABC Synthetic Corp 1,BVP-02561,2025-11-03 00:00:00,2025-11-05 00:00:00,2026-01-02 00:00:00,9,,,Synthetic_PO_3,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 6,
    ""message"": ""GL account 164.000.2423.201.000.344 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 7,
    ""message"": ""GL account 164.000.2423.201.000.344 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-11 08:44:48,60,,Hold,FL,1076.25,1076.25,1076.25
INV000004,ABC Synthetic Corp 1 - Professional Services Engagement - Phase 3,SYNTHETIC-INV-000004,ABC Synthetic Corp 1,BVP-00900,2025-09-11 00:00:00,2025-09-23 00:00:00,2025-11-10 00:00:00,62,,,PO_Synthetic_4,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 441.000.2411.101.000.344 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 03:05:43,60,,Hold,CT,760,760,760
INV000005,Synthetic Solutions Group 3 - Construction Services Agreement - Site B,SYN-INVOICE-000005,Synthetic Solutions Group 3,BVP-00460,2025-10-17 00:00:00,2025-10-31 00:00:00,2025-11-16 00:00:00,26,,,SYN_PO_5,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 441.318.6421.000.233.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 2,
    ""message"": ""GL account 441.318.6421.000.233.345 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 06:04:22,30,,Hold,CT,648.75,648.75,648.75
INV000006,Global Synthetic Industries 4 - Network Infrastructure Services - Q1 2025,INV-SYN-000006,Global Synthetic Industries 4,BVP-01002,2025-10-06 00:00:00,2025-11-10 00:00:00,2025-12-05 00:00:00,37,984,2025-11-11 00:00:00,Synthetic_PO_6,TRUE,"Detail from service: A vendor invoice number of INV-SYN-000006 is already queued for release. and 
 Validation Message: {
  ""vendorId"": ""4206967"",
  ""vendorInvoiceNumber"": ""INV-SYN-000006"",
  ""status"": ""Error""
}",Fail,2025-11-12 13:44:31,60,ACCT,Hold,TX,1536,1536,1536
INV000007,Synthetic Tech Partners 5 - Construction Services Agreement - Site A,SYNTHETIC-INV-000007,Synthetic Tech Partners 5,BVP-02536,2025-10-22 00:00:00,2025-10-24 00:00:00,2025-12-21 00:00:00,21,,,PO_Synthetic_7,TRUE,"Detail from service: The invoice amount is greater than the amount available on the PO. and 
 Validation Message: {
  ""vendorId"": ""8020345"",
  ""vendorInvoiceNumber"": ""SYNTHETIC-INV-000007"",
  ""status"": ""Error""
}",Fail,2025-11-12 06:44:45,60,BLANK,Hold,CA,3044.4,3044.4,3044.4
INV000008,ABC Synthetic Corp 1 - Fiber Optic Installation Project - Buildout,SYN-INVOICE-000008,ABC Synthetic Corp 1,BVP-02561,2025-09-02 00:00:00,2025-10-09 00:00:00,2025-11-01 00:00:00,71,,,SYN_PO_8,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 5,
    ""message"": ""GL account 161.000.2422.201.000.344 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 6,
    ""message"": ""GL account 161.000.2422.201.000.344 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 02:39:18,60,,Hold,FL,1989.7,1989.7,1989.7
INV000009,Synthetic Vendor Inc 6 - Professional Services Engagement - Region East,INV-SYN-000009,Synthetic Vendor Inc 6,BVP-00433,2025-09-29 00:00:00,2025-10-08 00:00:00,2025-11-13 00:00:00,44,,,Synthetic_PO_9,TRUE,"Detail from service: Validation errors exist. and 
 Validation Message: [
  {
    ""lineNumber"": 1,
    ""message"": ""GL account 151.000.2421.101.000.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 2,
    ""message"": ""GL account 151.000.2421.201.000.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 3,
    ""message"": ""GL account 151.000.2421.101.000.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 4,
    ""message"": ""GL account 151.000.2421.101.000.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 5,
    ""message"": ""GL account 151.000.2421.101.000.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 6,
    ""message"": ""GL account 151.000.2421.101.000.345 is not valid. Cost Code Not Valid For This Project""
  },
  {
    ""lineNumber"": 7,
    ""message"": ""GL account 151.000.2421.101.000.345 is not valid. Cost Code Not Valid For This Project""
  }
]",Fail,2025-11-12 04:27:16,45,,Hold,CA,11748.75,11748.75,11748.75
INV000010,ABC Synthetic Corp 1 - Network Infrastructure Services - Region West,SYNTHETIC-INV-000010,ABC Synthetic Corp 1,BVP-02561,2025-10-16 00:00:00,2025-10-21 00:00:00,2025-12-15 00:00:00,27,82,2025-10-21 00:00:00,PO_Synthetic_1,TRUE,"Detail from service: Failed Validation and 
 Validation Message: {
  
} and 
 Validation Message: {
  ""lines"": [
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    },
    {
      ""invoiceLineNumber"": {
        ""isEmpty"": ""Value is required and can't be empty""
      }
    }
  ]
}",FAIL,2025-10-22 12:36:55,60,ACCT,Hold,FL,2820,2820,2820
