Invoice_Line_Id,Invoice_Id,Invoice_Line_Number__c,Invoice_Amount__c,Invoice_Status__c,Cost_Category_Name__c,sitetracker__Quantity__c,sitetracker__Unit_Price__c,Description__c
a0H37c85814014f4e6,INV-SYN-43622,1,11419.2,Review Required,Materials - Fiber Cable,17,671.72,Line item 1 for Synthetic_PO_15
a0He3f7dd03ec75473,INV-SYN-43622,2,4384.97,Pending,Materials - Hardware,41,106.95,Line item 2 for Synthetic_PO_15
a0H3c809ff57b594f4,INV-SYN-43622,3,6231.31,Approved,Materials - Hardware,21,296.73,Line item 3 for Synthetic_PO_15
a0H578c787a200943e,INV-SYN-43622,4,4679.18,Pending,Services - Project Management,5,935.84,Line item 4 for Synthetic_PO_15
a0H828519916ca94b0,INV-SYN-43622,5,2763.06,Pending,Labor - Installation,54,51.17,Line item 5 for Synthetic_PO_15
a0Hac4ed6b9799b4ac,INV-SYN-43622,6,5731.409999999994,Review Required,Materials - Fiber Cable,20,286.57,Line item 6 for Synthetic_PO_15
a0Hdca220837f0b4f6,INV-SYN-93238,1,15184.26,Pending,Services - Consulting,42,361.53,Line item 1 for Synthetic_PO_15
a0Hf39684f94efe48a,INV-SYN-93238,2,9279.9,Approved,Materials - Hardware,69,134.49,Line item 2 for Synthetic_PO_15
a0Hebb6f4a19ec8465,INV-SYN-93238,3,3591.93,Approved,Labor - Installation,4,897.98,Line item 3 for Synthetic_PO_15
a0Hddd7955690424d4,INV-SYN-93238,4,11536.189999999997,Approved,Labor - Engineering,59,195.53,Line item 4 for Synthetic_PO_15
a0He23c69139a8f44d,INV-SYN-13843,1,18323.97,Approved,Materials - Network Equipment,72,254.5,Line item 1 for Synthetic_PO_15
a0H034f2551b0ae4e7,INV-SYN-13843,2,11188.41,Pending,Materials - Network Equipment,86,130.1,Line item 2 for Synthetic_PO_15
a0He3eb4359ff3a404,INV-SYN-13843,3,2553.31,Review Required,Materials - Hardware,19,134.38,Line item 3 for Synthetic_PO_15
a0H2652ae433c90403,INV-SYN-13843,4,2473.11,Pending,Labor - Engineering,47,52.62,Line item 4 for Synthetic_PO_15
a0H81d963e216a34a4,INV-SYN-13843,5,6157.99,Pending,Services - Project Management,54,114.04,Line item 5 for Synthetic_PO_15
a0Ha6d93acf7abb4d6,INV-SYN-13843,6,9269.669999999996,Pending,Services - Project Management,49,189.18,Line item 6 for Synthetic_PO_15
a0H0422ba72827e4dc,INV-SYN-86284,1,14571.53,Approved,Materials - Network Equipment,100,145.72,Line item 1 for Synthetic_PO_15
