Invoice_Id,Invoice_Name,Vendor__Name,PO_Name__c,Project_Id,Invoice_Date__c,Total_Amount__c,sitetracker__Status__c,Days_Pending_Approval__c,Integration_Status__c,Integration_Error_Message__c,Reason__c,State__c,Approval_Date__c,Due_Date_Formula__c
INV-SYN-43622,Synthetic Tech Partners 11-Draft-01,Synthetic Tech Partners 11,Synthetic_PO_15,a0F24fd5bbad622470,2025-08-31,35209.13,Draft,3,Not Submitted,,Work completed for Synthetic_PO_15,CA,,2025-09-30
INV-SYN-93238,Synthetic Tech Partners 11-Draft-02,Synthetic Tech Partners 11,Synthetic_PO_15,a0F24fd5bbad622470,2025-10-20,39592.28,Draft,3,Not Submitted,,Work completed for Synthetic_PO_15,FL,,2025-11-19
INV-SYN-13843,Synthetic Tech Partners 11-Submitted-01,Synthetic Tech Partners 11,Synthetic_PO_15,a0F24fd5bbad622470,2025-07-26,49966.46,Submitted,5,Pending,,Work completed for Synthetic_PO_15,FL,,2025-08-25
INV-SYN-86284,Synthetic Tech Partners 11-Submitted-02,Synthetic Tech Partners 11,Synthetic_PO_15,a0F24fd5bbad622470,2025-08-17,37091.47,Submitted,7,Pending,,Work completed for Synthetic_PO_15,CA,,2025-09-16
INV-SYN-58902,Synthetic Tech Partners 11-Approved-01,Synthetic Tech Partners 11,Synthetic_PO_15,a0F24fd5bbad622470,2025-06-22,68631.58,Approved,139,Success,,Work completed for Synthetic_PO_15,NY,2025-07-02,2025-07-22
INV-SYN-17337,Synthetic Tech Partners 11-Approved-02,Synthetic Tech Partners 11,Synthetic_PO_15,a0F24fd5bbad622470,2025-07-30,8222.43,Approved,106,Success,,Work completed for Synthetic_PO_15,CA,2025-08-04,2025-08-29
INV-SYN-49718,Synthetic Tech Partners 11-Paid-01,Synthetic Tech Partners 11,Synthetic_PO_15,a0F24fd5bbad622470,2025-07-13,38388.75,Paid,124,Success,,Work completed for Synthetic_PO_15,CA,2025-07-17,2025-08-12
INV-SYN-52829,Synthetic Tech Partners 11-Paid-02,Synthetic Tech Partners 11,Synthetic_PO_15,a0F24fd5bbad622470,2025-07-06,45606.18,Paid,125,Success,,Work completed for Synthetic_PO_15,FL,2025-07-16,2025-08-05
INV-SYN-64264,Synthetic Tech Partners 11-Hold-01,Synthetic Tech Partners 11,Synthetic_PO_15,a0F24fd5bbad622470,2025-05-28,68077.54,Hold,70,Error,Vendor validation failed: Vendor ID not found in Infinium system,Work completed for Synthetic_PO_15,FL,,2025-06-27
INV-SYN-65810,Synthetic Tech Partners 11-Hold-02,Synthetic Tech Partners 11,Synthetic_PO_15,a0F24fd5bbad622470,2025-08-02,74167.58,Hold,59,Error,Approval limit exceeded: Invoice amount requires director approval,Work completed for Synthetic_PO_15,NY,,2025-09-01
